                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    223,                  3e-05,                0.52016,                      1,                0.97951,              0.0056044,              0.0056044,              0.0056044
                    224,                  6e-05,                0.51613,                      1,                0.97998,              0.0055846,              0.0055846,              0.0055846
                    225,                  2e-05,                0.51613,                      1,                0.97824,              0.0055648,              0.0055648,              0.0055648
                    226,                  3e-05,                0.52419,                      1,                0.97683,               0.005545,               0.005545,               0.005545
                    227,                  2e-05,                0.52419,                      1,                0.97615,              0.0055252,              0.0055252,              0.0055252
                    228,                  2e-05,                0.52419,                      1,                0.97573,              0.0055054,              0.0055054,              0.0055054
                    229,                  3e-05,                0.52419,                      1,                  0.975,              0.0054856,              0.0054856,              0.0054856
                    230,                  2e-05,                0.52823,                      1,                0.97459,              0.0054658,              0.0054658,              0.0054658
                    231,                  3e-05,                0.52823,                      1,                0.97462,               0.005446,               0.005446,               0.005446
                    232,                  5e-05,                0.52823,                      1,                0.97485,              0.0054262,              0.0054262,              0.0054262
                    233,                  2e-05,                0.52823,                      1,                0.97576,              0.0054064,              0.0054064,              0.0054064
                    234,                  3e-05,                0.52823,                      1,                0.97605,              0.0053866,              0.0053866,              0.0053866
                    235,                  2e-05,                0.52823,                      1,                0.97593,              0.0053668,              0.0053668,              0.0053668
                    236,                  3e-05,                0.52823,                      1,                0.97581,               0.005347,               0.005347,               0.005347
                    237,                  2e-05,                0.52823,                      1,                0.97551,              0.0053272,              0.0053272,              0.0053272
                    238,                  2e-05,                0.52823,                      1,                0.97526,              0.0053074,              0.0053074,              0.0053074
                    239,                  2e-05,                0.52823,                      1,                0.97516,              0.0052876,              0.0052876,              0.0052876
                    240,                  2e-05,                0.53226,                      1,                0.97526,              0.0052678,              0.0052678,              0.0052678
                    241,                  2e-05,                0.53226,                      1,                 0.9751,               0.005248,               0.005248,               0.005248
                    242,                  2e-05,                0.53226,                      1,                0.97493,              0.0052282,              0.0052282,              0.0052282
                    243,                  2e-05,                0.53629,                      1,                 0.9751,              0.0052084,              0.0052084,              0.0052084
                    244,                  2e-05,                0.53629,                      1,                0.97511,              0.0051886,              0.0051886,              0.0051886
                    245,                0.00011,                0.53226,                      1,                0.97728,              0.0051688,              0.0051688,              0.0051688
                    246,                  4e-05,                0.52419,                      1,                0.98066,               0.005149,               0.005149,               0.005149
                    247,                  2e-05,                0.52016,                      1,                0.98273,              0.0051292,              0.0051292,              0.0051292
                    248,                  4e-05,                0.52419,                      1,                0.98287,              0.0051094,              0.0051094,              0.0051094
                    249,                  2e-05,                0.52823,                      1,                0.98243,              0.0050896,              0.0050896,              0.0050896
                    250,                  2e-05,                0.52419,                      1,                0.98172,              0.0050698,              0.0050698,              0.0050698
                    251,                  2e-05,                0.52419,                      1,                0.98141,                0.00505,                0.00505,                0.00505
                    252,                  2e-05,                0.52419,                      1,                0.98074,              0.0050302,              0.0050302,              0.0050302
                    253,                  3e-05,                0.52419,                      1,                0.98069,              0.0050104,              0.0050104,              0.0050104
                    254,                  3e-05,                0.52016,                      1,                0.98044,              0.0049906,              0.0049906,              0.0049906
                    255,                  4e-05,                0.52016,                      1,                0.98084,              0.0049708,              0.0049708,              0.0049708
                    256,                  4e-05,                 0.5121,                      1,                0.98173,               0.004951,               0.004951,               0.004951
                    257,                  3e-05,                0.51613,                      1,                0.98249,              0.0049312,              0.0049312,              0.0049312
                    258,                  2e-05,                0.51613,                      1,                0.98269,              0.0049114,              0.0049114,              0.0049114
                    259,                  6e-05,                0.51613,                      1,                0.98096,              0.0048916,              0.0048916,              0.0048916
                    260,                  2e-05,                 0.5121,                      1,                0.97902,              0.0048718,              0.0048718,              0.0048718
                    261,                0.00025,                0.50806,                      1,                0.97979,               0.004852,               0.004852,               0.004852
                    262,                0.00018,                0.50806,                      1,                0.98885,              0.0048322,              0.0048322,              0.0048322
                    263,                  6e-05,                0.50403,                      1,                0.99676,              0.0048124,              0.0048124,              0.0048124
                    264,                  7e-05,                    0.5,                      1,                 1.0015,              0.0047926,              0.0047926,              0.0047926
                    265,                  3e-05,                0.49194,                      1,                 1.0048,              0.0047728,              0.0047728,              0.0047728
                    266,                  3e-05,                0.48387,                      1,                 1.0067,               0.004753,               0.004753,               0.004753
                    267,                  3e-05,                0.47984,                      1,                 1.0081,              0.0047332,              0.0047332,              0.0047332
                    268,                  3e-05,                0.47581,                      1,                 1.0095,              0.0047134,              0.0047134,              0.0047134
                    269,                  3e-05,                0.47581,                      1,                 1.0101,              0.0046936,              0.0046936,              0.0046936
                    270,                  4e-05,                0.47581,                      1,                 1.0105,              0.0046738,              0.0046738,              0.0046738
                    271,                  3e-05,                0.47984,                      1,                 1.0108,               0.004654,               0.004654,               0.004654
                    272,                  3e-05,                0.47984,                      1,                 1.0109,              0.0046342,              0.0046342,              0.0046342
                    273,                  2e-05,                0.48387,                      1,                 1.0109,              0.0046144,              0.0046144,              0.0046144
                    274,                  2e-05,                0.48387,                      1,                 1.0108,              0.0045946,              0.0045946,              0.0045946
                    275,                  2e-05,                0.48387,                      1,                 1.0104,              0.0045748,              0.0045748,              0.0045748
                    276,                  2e-05,                0.48387,                      1,                 1.0103,               0.004555,               0.004555,               0.004555
                    277,                  3e-05,                 0.4879,                      1,                 1.0101,              0.0045352,              0.0045352,              0.0045352
                    278,                  2e-05,                0.49194,                      1,                 1.0095,              0.0045154,              0.0045154,              0.0045154
                    279,                  3e-05,                 0.4879,                      1,                 1.0089,              0.0044956,              0.0044956,              0.0044956
                    280,                  3e-05,                 0.4879,                      1,                 1.0082,              0.0044758,              0.0044758,              0.0044758
                    281,                  2e-05,                0.49194,                      1,                 1.0077,               0.004456,               0.004456,               0.004456
                    282,                  3e-05,                0.49194,                      1,                 1.0072,              0.0044362,              0.0044362,              0.0044362
                    283,                  2e-05,                0.49194,                      1,                 1.0067,              0.0044164,              0.0044164,              0.0044164
